user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform
1,21.0,1.86,7.34,8.95,4.99,5.09,45.44,Medium,Tiktok
2,34.0,3.03,5.78,5.78,3.73,8.25,50.17,High,Tiktok
3,43.0,3.96,9.62,5.46,5.48,8.96,43.27,Low,Tiktok
4,29.0,3.56,7.25,5.09,5.54,9.77,64.99,Low,Instagram Reels
6,22.0,2.04,16.43,7.54,2.11,6.35,88.73,Medium,Youtube Shorts
7,43.0,3.61,9.32,8.62,1.74,8.41,94.29,Low,Tiktok
8,35.0,0.98,3.65,7.34,4.62,5.79,84.74,Medium,Youtube Shorts
9,21.0,2.78,11.57,8.49,8.99,5.16,54.67,High,Youtube Shorts
11,33.0,4.31,6.58,7.45,6.04,4.21,85.23,High,Tiktok
13,25.0,2.03,8.03,8.16,8.25,1.6,88.42,Low,Youtube Shorts
15,38.0,2.31,5.53,6.95,2.53,4.41,75.69,High,Instagram Reels
16,35.0,2.92,10.27,7.16,3.71,8.95,68.79,Low,Tiktok
18,22.0,4.26,9.98,8.65,6.6,3.8,47.68,Low,Instagram Reels
19,38.0,5.35,7.71,7.32,6.26,9.73,52.76,High,Tiktok
21,36.0,5.3,7.89,4.52,2.7,4.12,96.83,Medium,Tiktok
22,35.0,0.83,2.55,8.29,8.13,8.75,44.99,High,Youtube Shorts
24,38.0,2.31,10.83,5.07,5.25,6.16,52.32,Low,Youtube Shorts
25,26.0,2.23,10.41,5.15,9.97,9.0,46.33,Medium,Tiktok
26,44.0,3.32,5.46,7.0,3.54,1.85,63.69,High,Youtube Shorts
27,20.0,5.67,8.18,6.88,4.55,4.55,74.98,Medium,Tiktok
28,16.0,0.76,6.9,5.45,7.09,8.29,89.62,High,Youtube Shorts
30,35.0,5.21,11.5,7.82,2.14,9.34,69.5,Low,Instagram Reels
32,26.0,1.6,10.66,4.26,9.26,4.03,57.55,Medium,Youtube Shorts
33,40.0,2.84,11.1,4.67,4.81,4.83,86.23,High,Instagram Reels
34,36.0,2.62,4.17,7.21,3.58,7.18,46.84,High,Instagram Reels
35,43.0,5.53,10.31,8.02,7.1,2.76,48.79,High,Youtube Shorts
36,26.0,4.69,9.09,7.96,3.21,1.03,83.18,High,Instagram Reels
37,39.0,3.28,11.63,2.0,4.46,9.79,97.66,Low,Youtube Shorts
38,31.0,5.94,7.71,8.44,9.07,9.09,47.21,Low,Instagram Reels
40,41.0,0.82,7.97,4.54,1.85,5.35,54.35,Low,Youtube Shorts
42,42.0,2.9,4.2,8.11,6.65,8.82,89.94,Medium,Instagram Reels
43,42.0,1.36,5.94,6.91,5.33,6.37,70.52,High,Youtube Shorts
44,30.0,5.71,7.99,8.81,6.94,8.44,41.43,Low,Youtube Shorts
46,44.0,1.98,5.75,7.5,5.33,6.09,72.14,High,Instagram Reels
48,29.0,4.47,11.41,4.54,9.23,5.678,65.41,Medium,Tiktok
49,44.0,5.68,9.5,7.92,1.54,8.66,51.09,Medium,Youtube Shorts
51,26.0,3.33,9.66,4.14,3.7,9.06,57.26,Medium,Youtube Shorts
52,37.0,4.76,9.4,8.55,2.66,9.06,57.8,High,Instagram Reels
54,39.0,3.54,5.7,5.09,4.82,5.03,45.64,Low,Tiktok
55,17.0,1.13,8.07,7.9,1.46,7.1,65.814,Medium,Tiktok
56,19.0,1.19,6.53,4.24,2.15,2.0,72.8,Low,Instagram Reels
57,33.0,3.41,9.78,5.43,1.87,4.776,82.59,Medium,Tiktok
58,21.0,1.98,6.25,7.12,1.42,2.34,77.97,High,Tiktok
59,35.0,0.62,16.43,6.28,5.33,8.63,93.17,High,Instagram Reels
60,23.0,4.48,11.76,4.05,4.0,9.49,99.54,High,Tiktok
62,32.0,3.77,9.18,5.07,1.92,7.01,85.85,Medium,Instagram Reels
