user_id,age,gender,location,platform,reels_watch_time_hours,daily_screen_time_hours,scrolling_sessions_day,notifications_per_day,sleep_hours,physical_activity_hours_week,stress_level,attention_span_score,focus_level,task_completion_rate
1,17,Female,Urban,TikTok,3.81,12.94,10,31,8.12,3,High,6.75,4.24,38.7
2,31,Male,Suburban,Instagram Reels,1.69,7.25,3,1,8.15,4.6,Low,10,7.29,49.8
3,23,Female,Rural,Instagram Reels,3.99,10.38,9,31,7.1,3.5,Low,8.42,5.99,41.2
4,20,Male,Rural,Instagram Reels,3.94,9.28,13,52,6.81,2.9,Medium,6.75,6.47,27
5,37,Female,Urban,Instagram Reels,0.3,3.88,3,2,8.39,7.3,Low,9.23,8.18,71
6,34,Male,Suburban,YouTube Shorts,1.5,4.84,1,0,5.56,5.8,Medium,7.62,8.23,49.4
7,31,Female,Urban,YouTube Shorts,2.95,9.22,6,27,9.18,4.6,Medium,7.8,4.74,33.5
8,23,Female,Urban,Instagram Reels,4.35,9.45,9,24,5.9,2.6,High,5.95,2.34,29
9,21,Female,Suburban,Instagram Reels,4,11.17,12,44,6.99,1.9,Medium,5.37,3.99,36.1
10,27,Female,Urban,Instagram Reels,3.42,9.05,2,6,6.93,3.8,Medium,8.12,4.8,27.6
11,31,Non-binary,Suburban,YouTube Shorts,2.18,6.72,6,13,7.84,3.7,Low,9.51,6.73,42.9
12,24,Non-binary,Urban,Instagram Reels,4.64,7.58,10,36,5.95,6.2,High,7.14,5.41,34.9
13,17,Female,Urban,TikTok,6.5,14.88,19,87,6.51,2.8,High,5.22,1.89,13.8
14,19,Female,Urban,YouTube Shorts,2.67,5.17,6,8,7.75,5,Low,8.02,5.56,49.9
15,22,Female,Suburban,YouTube Shorts,1.76,5.56,4,28,7.31,4.4,Low,8.65,7.71,38.2
16,29,Female,Urban,YouTube Shorts,3.48,9.47,10,46,8.43,3.6,Low,9.6,7.12,58.6
17,35,Female,Urban,Instagram Reels,2.51,8.96,5,17,8.84,4.5,Low,8.83,7.06,44.2
18,40,Female,Urban,Instagram Reels,3,7.96,8,46,7.06,5.3,High,8.01,5.08,46.5
19,26,Female,Suburban,Instagram Reels,2.97,6.33,11,49,7.17,,Medium,9.9,9.31,53.5
20,18,Female,Urban,Instagram Reels,5.57,11.51,17,63,6.18,1.6,High,6.2,3.8,32.4
21,19,Male,Urban,TikTok,4.18,9.91,11,58,6.41,5.2,High,7.51,4.82,34.5
22,34,Male,Urban,Instagram Reels,3.53,8.59,13,52,5.83,2.7,High,7.82,4.96,34.8
23,34,Female,Urban,TikTok,3.68,11.12,8,22,7.58,2.1,Medium,7.07,5.15,39.8
24,33,Female,Urban,YouTube Shorts,0.3,4.98,4,4,8.84,,Low,9.93,8.35,70.1
25,16,Female,Suburban,Instagram Reels,2.92,7.82,10,,6.63,5.4,Medium,8.07,5.78,40.5
26,19,Female,Urban,TikTok,3.64,6.77,8,34,7.93,5.3,Low,7.88,5.49,32.5
27,15,Male,Rural,YouTube Shorts,4.34,10.92,13,56,5.54,4.6,High,7.8,4.7,30.8
28,25,Female,Urban,Instagram Reels,2.23,5.37,8,28,7.93,7.8,Medium,9.5,6.82,50.5
29,29,Male,Suburban,Instagram Reels,4.37,9.99,13,42,6.14,3.5,High,7.58,6.33,35.1
30,18,Female,Suburban,TikTok,4.5,11.35,11,33,6.58,7.3,Medium,6.47,1.86,10
31,43,Male,Urban,YouTube Shorts,0.96,2.49,3,22,8,6.6,Low,7.05,5.87,52.8
32,28,Female,Urban,YouTube Shorts,2.84,8.48,5,29,8.17,5.2,Low,8.42,6.11,46.6
33,15,Female,Urban,TikTok,4.63,11.29,13,49,6.18,2.9,Medium,7.04,5.42,31.9
34,29,Male,Suburban,YouTube Shorts,2.47,6.84,5,19,8.43,4.1,Low,8.54,5.63,39.7
35,31,Male,Urban,Instagram Reels,0.88,4.58,1,0,7.5,5.9,Low,9.64,7.2,58.3
36,36,Female,Urban,YouTube Shorts,0.96,2,4,16,7.62,6.8,Low,8.69,5.23,55
37,33,Male,Suburban,YouTube Shorts,3.16,8.79,10,44,8.11,5.6,Low,9.37,7.15,47.9
38,39,Male,Urban,YouTube Shorts,1.66,6.14,5,20,7.99,4.5,Low,8.94,5.72,57.8
39,17,Female,Urban,TikTok,3.55,8.51,8,40,6.03,3.5,High,6.2,3.74,31.3
40,34,Male,Urban,YouTube Shorts,4.27,7.57,14,48,5.68,2.8,High,6.99,4.83,12.8
41,26,Female,Urban,YouTube Shorts,2.67,5.46,5,22,8.65,4.8,Medium,8.44,5.69,42.6
42,26,Male,Rural,Instagram Reels,1.31,2.94,4,16,8.14,5,Low,8.08,6.91,53.6
43,32,Male,Urban,Instagram Reels,0.74,4,4,13,7.63,7.3,Low,9.42,6.18,50.4
44,18,Male,Urban,Instagram Reels,5.62,12,13,62,6.4,3.4,High,7.54,4.68,43.8
45,21,Male,Rural,Instagram Reels,4.07,8.19,10,42,7.18,,High,7.09,6.59,45.6
46,20,Female,Urban,YouTube Shorts,4.82,9.91,12,42,6.12,5.3,Medium,7.22,6.04,32.1
47,30,Female,Urban,TikTok,2.83,7.95,4,19,7.72,5.4,Low,7.27,6.45,35.3
48,21,Male,Urban,TikTok,6.68,13.41,19,56,6.04,4.9,High,5.86,3.01,15.8
49,27,Male,Urban,YouTube Shorts,3.7,11.18,7,25,6.28,4.5,High,6.44,5.94,39.6
50,21,Female,Suburban,TikTok,4.35,9.32,13,56,6.79,4.3,High,7.66,4.56,29.9
51,22,Female,Urban,YouTube Shorts,3.54,9.7,10,35,6.74,2,Medium,7.04,5.42,45.8
52,34,Female,Urban,Instagram Reels,3.14,11.89,11,31,7.89,,Low,8.59,5.2,45.7
53,32,Female,Urban,YouTube Shorts,2.67,4.98,6,34,7.21,4.1,Low,8.02,6,36.1
54,39,Male,Urban,Instagram Reels,4.08,10.07,11,47,8.41,3.1,Medium,8.45,5.17,32
55,44,Female,Urban,YouTube Shorts,1.68,5.93,5,17,6.45,7.5,Medium,8.6,7.44,58.8
56,35,Male,Rural,TikTok,3.83,11.24,9,34,7.36,2.7,Medium,8.53,5.56,35.6
57,35,Male,Urban,Instagram Reels,1.78,5.5,2,,7.34,3.9,Low,9.62,8.47,63.3
58,39,Female,Urban,TikTok,1.49,4.41,8,40,7.51,8,Low,9.06,7.02,44
59,31,Female,Urban,YouTube Shorts,0.85,2.06,4,22,9.63,8.8,Low,9.84,8.1,69.7
60,30,Male,Rural,Instagram Reels,2.35,6.39,8,26,6.61,6.7,Medium,7.2,5.02,45.1
61,36,Male,Suburban,Instagram Reels,3.31,12.5,8,28,7.61,4.6,Low,7.7,5.33,46.6
62,38,Female,Urban,YouTube Shorts,1.73,6.21,7,24,7.71,3.5,Low,9.78,8.24,59.9
63,32,Female,Urban,Instagram Reels,2.98,8.02,11,42,7.93,4.3,Medium,9.19,6.56,34.6
64,20,Female,Urban,Instagram Reels,3.21,7.16,4,15,6.77,6.3,High,7.96,6,51.5
65,40,Unknown,Urban,TikTok,1.63,4.2,2,10,7.34,8.2,Low,10,8.09,53.3
66,25,Female,Suburban,TikTok,3.27,6.5,7,14,7.96,6.2,Medium,7.85,5.7,38.6
67,30,Female,Suburban,Instagram Reels,3.54,9.99,6,24,8.33,5.1,Low,8.55,6.57,45.4
68,16,Female,Urban,TikTok,5.21,11.15,11,47,5.97,5.4,High,4.205,1.34,10
70,40,Unknown,Urban,YouTube Shorts,1.11,4.35,2,0,7.99,7.8,Medium,7.63,5.02,54.3
71,25,Male,Suburban,YouTube Shorts,2.23,7.32,6,18,7.43,4.4,Low,7.54,5.76,42.3
72,26,Male,Urban,TikTok,2.5,9.02,6,34,8.86,6.5,Low,7.19,5.86,47
73,42,Female,Urban,Instagram Reels,1.78,3.91,6,18,8.45,5.4,Low,9.59,8.65,62.6
74,15,Female,Urban,TikTok,6.01,14.29,14,57,5.84,2.6,High,4.59,3.22,31.8
75,19,Female,Suburban,TikTok,5.35,10.3,11,53,6.84,1.6,High,6.04,4.05,24.2
76,22,Female,Urban,Instagram Reels,5.82,12.2,15,66,6.32,3.9,Medium,5.99,4.51,27.1
77,17,Female,Suburban,TikTok,6.17,12.45,13,48,6.36,4.1,High,7.84,4.84,38
78,22,Male,Urban,Instagram Reels,4.37,9.95,9,30,5.71,4.4,High,5.56,3.79,28.8
79,22,Female,Rural,TikTok,3.33,12.07,7,26,7.84,4.5,Medium,7.07,4.66,40.4
80,15,Female,Rural,TikTok,5.35,12.71,15,67,6.34,4.8,High,7.16,6.68,29.2
81,21,Male,Rural,TikTok,3.88,8.08,11,48,6.79,4.2,Medium,7.33,6.6,33.5
82,24,Male,Suburban,YouTube Shorts,4.15,9.4,11,47,6.89,4.5,High,7.29,4.82,26.9
83,34,Male,Suburban,Instagram Reels,1.71,4.09,1,15,7.57,4.5,Medium,8.52,5.3,38.5
84,43,Male,Urban,YouTube Shorts,2.98,7.71,3,12,7.09,5.3,High,9.13,5.03,44.7
85,15,Unknown,Urban,YouTube Shorts,3.88,9.64,7,,7.53,,High,8.02,4.98,39.1
86,27,Female,Rural,Instagram Reels,2.86,7.45,7,54,6.45,4.7,Medium,6.53,3.87,23.9
87,26,Female,Suburban,TikTok,2.01,5.52,4,27,7.12,8,Medium,8.76,5.96,41.6
88,24,Female,Urban,Instagram Reels,5.24,12.85,10,28,5.94,2.9,High,5.54,4.28,21.1
89,33,Female,Suburban,Instagram Reels,1.38,6.96,5,9,9.5,4.5,Low,10,7.08,62.7
90,31,Female,Urban,YouTube Shorts,3.62,5.37,8,23,8.4,5,Medium,7.15,5.91,44
91,32,Non-binary,Suburban,YouTube Shorts,1.6,4.56,2,9,8.69,2.5,Low,8.43,6.43,50.7
92,19,Female,Urban,Instagram Reels,3.23,9.9,4,22,6.46,2.2,Medium,6.42,5.15,25.4
93,29,Female,Suburban,Instagram Reels,2.38,7.43,3,8,7.67,4.1,Low,9.23,5.63,40.2
94,29,Female,Suburban,TikTok,3.26,8.56,9,35,6.62,4,Medium,7.78,5.24,40.4
95,23,Female,Rural,TikTok,4.9,10.87,12,30,7.34,3.2,Low,7.69,6.08,48.6
96,20,Non-binary,Rural,TikTok,4.09,10.83,8,27,7.27,3.7,High,6.94,3.9,30.3
97,37,Female,Suburban,YouTube Shorts,0.66,2.69,1,20,7.48,7.1,Low,10,7.09,43.6
98,19,Male,Urban,Instagram Reels,3.51,9.98,9,28,7.53,4.9,Medium,9.35,6.53,37.2
99,25,Female,Urban,YouTube Shorts,2.11,3.91,3,18,7.07,4,Low,8.09,5.96,37.6
100,23,Unknown,Rural,YouTube Shorts,4.52,11.71,12,45,7.61,1.5,High,7.95,4.86,33.5
101,22,Non-binary,Urban,YouTube Shorts,4.02,10.53,11,44,7.43,2.2,Medium,7.23,5.92,46.2
102,35,Male,Suburban,YouTube Shorts,2.14,8.02,8,26,7.08,4.7,Medium,8.43,4.73,46.4
103,20,Male,Urban,TikTok,6.25,11.73,16,62,6.19,4.7,High,7.2,3.99,14.5
104,32,Male,Suburban,Instagram Reels,1.46,3.81,2,4,8.85,4,Low,8.37,6.9,50.1
105,34,Male,Urban,YouTube Shorts,3.44,8.46,8,21,5.4,4.6,High,8.03,5.55,41.2
106,19,Non-binary,Suburban,TikTok,5.81,15.64,17,62,6.64,2.3,High,6.68,3.69,16.9
107,21,Male,Rural,Instagram Reels,4.66,9.47,7,35,7.25,2.3,High,7.94,6.05,29.9
108,29,Female,Suburban,YouTube Shorts,2.28,9.32,5,23,8.16,3.5,Low,9.08,7.49,59.7
109,23,Male,Rural,TikTok,3.91,8.97,7,35,5.84,3.7,High,7.25,4.04,35.2
110,27,Male,Urban,Instagram Reels,3.73,10.75,8,42,7.78,3.6,Low,9.71,8.05,58.9
111,24,Male,Suburban,YouTube Shorts,3.07,9.58,9,32,7.88,4.2,Medium,9.91,6.7,52.1
112,34,Female,Rural,Instagram Reels,1.55,5.16,5,20,7.5,5.1,Medium,7.47,4.26,39.1
113,16,Male,Urban,TikTok,3.78,8.01,8,53,4.57,6.4,High,5.31,3.39,21.7
114,16,Female,Urban,TikTok,5.33,11.22,11,46,7.55,2.4,High,6.54,4.73,20.1
115,19,Female,Urban,TikTok,4.97,12.92,12,48,7.99,5.3,Low,8.02,5.25,37.4
116,26,Male,Suburban,TikTok,3.37,8.55,9,21,7.87,,Low,7.82,6.01,46
117,24,Male,Suburban,TikTok,5.42,12.42,11,65,6.05,2,Medium,7.26,3.57,15.8
118,34,Female,Suburban,YouTube Shorts,1.87,5.07,3,18,7.19,6,Medium,7.57,5.44,32.5
119,40,Female,Suburban,Instagram Reels,2.3,7.39,4,18,6.93,5.1,Medium,8.48,5.83,35.5
120,35,Male,Urban,YouTube Shorts,1.82,4.42,1,4,7.58,6.5,Low,7.57,6.71,47.7
