user_id,age,gender,location,platform,reels_watch_time_hours,daily_screen_time_hours,scrolling_sessions_day,notifications_per_day,sleep_hours,physical_activity_hours_week,stress_level,attention_span_score,focus_level,task_completion_rate
USR00001,17.0,Female,Urban,TikTok,3.81,12.94,10,31,8.12,3.0,hi,6.75,4.24,38.7
USR00002,31.0,male,Suburban,Instagram Reels,1.69,7.25,3,1,8.15,4.6,Low,10.0,7.29,49.8
USR00003,23.0,Female,Rural,Instagram Reels,3.99,10.38,9,31,7.1,3.5,Low,8.42,5.99,41.2
USR00004,20.0,Male,Rural,Instagram Reels,3.94,9.28,13,52,6.81,2.9,Medium,6.75,6.47,27.0
USR00005,37.0,f,Urban,Instagram Reels,0.3,3.88,3,2,8.39,7.3,Low,9.23,8.18,71.0
USR00006,34.0,Male,Suburban,YouTube Shorts,1.5,4.84,1,0,5.56,5.8,Medium,7.62,8.23,49.4
USR00007,31.0,Female,Urban,YouTube Shorts,2.95,9.22,6,27,9.18,4.6,Medium,7.8,4.74,33.5
USR00008,23.0,Female,Urban,Instagram Reels,4.35,9.45,9,24,5.9,2.6,High,5.95,2.34,29.0
USR00009,21.0,Female,Suburban,Instagram Reels,4.0,11.17,12,44,6.99,1.9,MEDIUM,5.37,3.99,36.1
USR00010,27.0,Female,Urban,Instagram Reels,3.42,9.05,2,6,6.93,3.8,Medium,8.12,4.8,27.6
USR00011,31.0,non-binary,Suburban,YouTube Shorts,2.18,6.72,6,13,7.84,3.7,Low,9.51,6.73,42.9
USR00012,24.0,Non-binary,Urban,Instagram Reels,4.64,7.58,10,36,5.95,6.2,High,7.14,5.41,34.9
USR00013,17.0,Female,Urban,TikTok,6.5,14.88,19,87,6.51,2.8,High,5.22,1.89,13.8
USR00014,19.0,Female,Urban,YouTube Shorts,2.67,5.17,6,8,7.75,5.0,Low,8.02,5.56,49.9
USR00015,22.0,Female,Suburban,YouTube Shorts,1.76,5.56,4,28,7.31,4.4,Low,8.65,7.71,38.2
